StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,DSGVO,gender,age,Bildungsabschluss,Wohnort,income,Big5_1,Big5_2,NZV_1,NZV_2,NZV_3,ATI_1,ATI_2,ATI_3,ATI_4,ATI_5,ATI_6,ATI_7,ATI_8,ATI_9,MN,PD_1,PD_2,PD_3,EGKI_1,EGKI_2,EGKI_3,EGKI_4,EGKI_5,EXPKIC_1,EXPKIC_2,EXPKIC_3,EZKV_1,EZKV_2,EZKV_3,EZKV_4,EZKV_5,EZKV_6,BSSZO_1,BSSZO_2,BSSZO_3,BSSZO_4,BSSZO_5,EGN_1,EGN_2,EGN_3,EGN_4,BIATT_A_1,BIATT_A_2,BIATT_A_3,BIATT_A_4,BIATT_A_5,BIATT_A_6,PW_A_1,PW_A_2,PW_A_3,PW_A_4,PW_A_5,TIA_A_1,TIA_A_2,BIATT_B_1,BIATT_B_2,BIATT_B_3,BIATT_B_4,BIATT_B_5,BIATT_B_6,PW_B_1,PW_B_2,PW_B_3,PW_B_4,PW_B_5,TIA_B_1,TIA_B_2,USA_B_1,USA_B_2,USA_B_3,USA_B_4,USA_B_5,EZA_B_1,EZA_B_2,BIATT_C_1,BIATT_C_2,BIATT_C_3,BIATT_C_4,BIATT_C_5,BIATT_C_6,PW_C_1,PW_C_2,PW_C_3,PW_C_4,PW_C_5,TIA_C_1,TIA_C_2,Q39,FL_15_DO_SzenarioA,FL_15_DO_SzenarioB,FL_15_DO_SzenarioC
Anfangsdatum,Enddatum,Antworttyp,IP-Adresse,Aktueller Stand,Dauer (in Sekunden),Beendet,Erfassungsdatum,Antwort-ID,Nachname des Empfängers,Vorname des Empfängers,E-Mail des Empfängers,Externe Datenreferenz,Breitengrad des Standorts,Längengrad des Standorts,Verteilungskanal,Benutzersprache,"Informationen zum Datenschutz

Nach Art. 13 DSGVO und dem geltenden Datenschutzgesetz des Landes Nordrhein-Westfalen (Deutschland) vom 17.05.2018 (§17). Die Rechtsgrundlage dieser wissenschaftlichen Befragung richtet sich nach dem deutschen Grundgesetz, Art. 5, Abs. 3. In dieser Befragung werden keinerlei personenbezogenen Daten erhoben. Ihre Angaben erfolgen anonym und ohne das hieraus Rückschlüsse auf Ihre Person gezogen werden können. Dies bedeutet auch, dass wir Ihre Daten nicht mehr löschen können, sobald Sie diese einmal eingegeben haben, da wir Ihre Daten nicht identifizieren können. Ihre Daten werden ausschließlich zu Forschungszwecken genutzt. Es ist beabsichtigt, die Ergebnisse in wissenschaftlichen Fachzeitschriften zu veröffentlichen, allerdings ausschließlich in aggregierter Form und ohne möglichen Rückschluss auf Angaben einzelner Personen (nach NRW Datenschutzgesetz §17 (4)). Ihre Daten werden in Deutschland auf passwortgesicherten Datenträgern gespeichert. Nur Projektmitarbeitende haben Zugriff auf Ihre Daten.",Mit welchem Geschlecht identifizieren Sie sich?,Bitte geben Sie Ihr Alter in Jahren an:,Was ist ihr höchster Bildungsabschluss?,Was beschreibt ihren aktuellen Wohnort am ehesten?,Wie hoch ist ihr Bruttojahreseinkommen? (freiwillige Angabe),"Inwiefern stimmen Sie diesen Aussagen zu Ihrer Persönlichkeit zu? - Ich habe eine aktive Vorstellungskraft, bin fantasievoll.",Inwiefern stimmen Sie diesen Aussagen zu Ihrer Persönlichkeit zu? - Ich habe wenig künstlerisches Interesse.,Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Bei unbekannten automatisierten Systemen sollte man eher vorsichtig sein,Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Ich vertraue einem System eher als dass ich ihm misstraue,Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Automatisierte Systeme funktionieren generell gut.,Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich beschäftige mich gern genauer mit technischen Systemen.,Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich probiere gern die Funktionen neuer technischer Systeme aus.,"Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - In erster Linie beschäftige ich mich mit technischen Systemen, weil ich muss.","Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Wenn ich ein neues technisches System vor mir habe, probiere ich es intensiv aus.",Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich verbringe sehr gern Zeit mit dem Kennenlernen eines neuen technischen Systems.,"Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.","Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich versuche zu verstehen, wie ein technisches System genau funktioniert.","Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen","Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich versuche, die Möglichkeiten eines technischen Systems vollständig auszunutzen.",Wie oft nutzen Sie digitale Medien?,Inwiefern stimmen Sie diesen Aussagen zu Ihrer Einstellung zu Privatsphäre zu? - Verglichen mit anderen mache ich mir viele Sorgen über meine Privatsphäre.,"Inwiefern stimmen Sie diesen Aussagen zu Ihrer Einstellung zu Privatsphäre zu? - Verglichen mit anderen bin ich sehr empfindlich, wenn es darum geht, was mit meinen persönlichen Daten passiert.","Inwiefern stimmen Sie diesen Aussagen zu Ihrer Einstellung zu Privatsphäre zu? - Für mich ist es sehr wichtig, meine Privatsphäre zu schützen.",Inwiefern stimmen Sie diesen Aussagen zu künstlicher Intelligenz (KI) zu? - Ich habe Angst vor künstlicher Intelligenz.,Inwiefern stimmen Sie diesen Aussagen zu künstlicher Intelligenz (KI) zu? - Ich vertraue künstlicher Intelligenz.,Inwiefern stimmen Sie diesen Aussagen zu künstlicher Intelligenz (KI) zu? - Künstliche Intelligenz wird die Menschheit zerstören.,Inwiefern stimmen Sie diesen Aussagen zu künstlicher Intelligenz (KI) zu? - Künstliche Intelligenz wird eine Bereicherung für die Menschheit sein.,Inwiefern stimmen Sie diesen Aussagen zu künstlicher Intelligenz (KI) zu? - künstliche Intelligenz wird für viel Arbeitslosigkeit sorgen.,"Inwiefern haben Sie Vorerfahrung mit KI-Chatbots? 
Gemeint sind KI-basierte Anwendungen, mit denen man über Texteingabe kommunizieren kann (z.B. ChatGPT). - Ich habe KI-Chatbots bereits für verschiedene Aufgaben oder Projekte verwendet.","Inwiefern haben Sie Vorerfahrung mit KI-Chatbots? 
Gemeint sind KI-basierte Anwendungen, mit denen man über Texteingabe kommunizieren kann (z.B. ChatGPT). - Ich kenne mich mit den Funktionsweisen und Möglichkeiten von KI-Chatbots aus.","Inwiefern haben Sie Vorerfahrung mit KI-Chatbots? 
Gemeint sind KI-basierte Anwendungen, mit denen man über Texteingabe kommunizieren kann (z.B. ChatGPT). - Ich fühle mich sicher im Umgang mit KI-Chatbots.",Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden bearbeiten Anliegen ohne Verzögerung.,Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden handeln transparent und ehrlich.,Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Die Anträge in Behörden sind klar und verständlich.,Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden erledigen ihre Aufgaben sehr gut.,Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden verarbeiten meine Daten sicher und ausschließlich zweckmäßig.,Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Die Interaktion mit Behörden ist frustrierend.,In den folgenden Fragen geht es um ihre Einstellung zu ihren Gegenständen und Möbeln zuhause. - Zuhause bin ich von schönen und persönlichen Gegenständen umgeben.,"In den folgenden Fragen geht es um ihre Einstellung zu ihren Gegenständen und Möbeln zuhause. - Wenn es möglich wäre, würde ich meine Wohnung völlig neu einrichten.","In den folgenden Fragen geht es um ihre Einstellung zu ihren Gegenständen und Möbeln zuhause. - Viele Dinge, die mir gehören, bedeuten mir nichts mehr.","In den folgenden Fragen geht es um ihre Einstellung zu ihren Gegenständen und Möbeln zuhause. - Mir gehört eigentlich wenig, was mir wirklich gefällt.","In den folgenden Fragen geht es um ihre Einstellung zu ihren Gegenständen und Möbeln zuhause. - An meiner Wohnungseinrichtung kann man erkennen, wer ich bin.",Wie ist Ihre Einstellung zum Thema Nachhaltigkeit? - Mir ist Nachhaltigkeit wichtig,Wie ist Ihre Einstellung zum Thema Nachhaltigkeit? - Ich setzte nachhaltige Praktiken wie Mülltrennung oder Reycling aktiv in meinem Alltag um,Wie ist Ihre Einstellung zum Thema Nachhaltigkeit? - Ich achte auf ein nachhaltiges Konsumverhalten,Wie ist Ihre Einstellung zum Thema Nachhaltigkeit? - Ich nutze öffentliche Angebote zur Verbesserung der Nachhaltigkeit,"Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich beabsichtige, die beschriebene KI zu nutzen","Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich kann mit gut vorstellen, das beschriebene KI-System einzusetzen","Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich würde das System in Zukunft gern nutzen","Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Die Nutzung des Systems ist eine gute Idee","Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Meine Einstellung gegenüber dem System ist positiv","Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich mag die Idee, dass ein solches System eingesetzt wird","Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich glaube, dass durch die Nutzung des Chatbots Informationen über mich, die ich als privat betrachte, nun leichter für andere zugänglich sind, als ich es mir wünschen würde.","Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich bin besorgt, dass der Chatbot zu viele Informationen über mich sammelt.","Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich bin besorgt, dass der Chatbot meine Aktivitäten auf meinem dgitalen Endgerät überwachen könnte.","Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Automatisierte Systeme funktionieren generell gut.","Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich bin überzeugt von den Fähigkeiten des Systems.",Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zum Vertrauen zu? - Ich würde diesem System vertrauen.,Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zum Vertrauen zu? - Ich würde mich auf das System verlassen.,"Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich beabsichtige, die beschriebene KI zu nutzen","Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich kann mit gut vorstellen, das beschriebene KI-System einzusetzen","Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich würde das System in Zukunft gern nutzen","Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Die Nutzung des Systems ist eine gute Idee","Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Meine Einstellung gegenüber dem System ist positiv","Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich mag die Idee, dass ein solches System eingesetzt wird","Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich glaube, dass durch die Nutzung des Chatbots Informationen über mich, die ich als privat betrachte, nun leichter für andere zugänglich sind, als ich es mir wünschen würde.","Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich bin besorgt, dass der Chatbot zu viele Informationen über mich sammelt.","Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich bin besorgt, dass der Chatbot meine Aktivitäten auf meinem dgitalen Endgerät überwachen könnte.","Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Automatisierte Systeme funktionieren generell gut.","Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich bin überzeugt von den Fähigkeiten des Systems.",Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zum Vertrauen zu? - Ich würde diesem System vertrauen.,Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zum Vertrauen zu? - Ich würde mich auf das System verlassen.,"Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Bedienbarkeit zu? - Mir ist es wichtig, dass kurze Sätze und einfache Wörter verwendet werden.","Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Bedienbarkeit zu? - Mir ist es wichtig, dass das System nicht unvorhersehbar reagiert",Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Bedienbarkeit zu? - Mir ist es wichtig weiterführende relevante Informationen zu meiner Frage zu bekommen,"Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Bedienbarkeit zu? - Mir ist es wichtig, dass das System klar strukturiert und übersichtlich ist","Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Bedienbarkeit zu? - Mir ist es wichtig, dass ich das System bei Erstnutzung schnell verstehe","Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Zeitersparnis zu? - Ich gehe davon aus, dass dieser Chatbot zeitsparend ist.","Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Zeitersparnis zu? - Die Nutzung des Chatbots könnte es mir ermöglichen, Aufgaben schneller zu erledigen.","Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich beabsichtige, die beschriebene KI zu nutzen","Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich kann mit gut vorstellen, das beschriebene KI-System einzusetzen","Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich würde das System in Zukunft gern nutzen","Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Die Nutzung des Systems ist eine gute Idee","Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Meine Einstellung gegenüber dem System ist positiv","Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich mag die Idee, dass ein solches System eingesetzt wird","Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich glaube, dass durch die Nutzung des Chatbots Informationen über mich, die ich als privat betrachte, nun leichter für andere zugänglich sind, als ich es mir wünschen würde.","Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich bin besorgt, dass der Chatbot zu viele Informationen über mich sammelt.","Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich bin besorgt, dass der Chatbot meine Aktivitäten auf meinem dgitalen Endgerät überwachen könnte.","Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Automatisierte Systeme funktionieren generell gut.","Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich bin überzeugt von den Fähigkeiten des Systems.",Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zum Vertrauen zu? - Ich würde diesem System vertrauen.,Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zum Vertrauen zu? - Ich würde mich auf das System verlassen.,"Herzlichen Dank für Ihre Teilnahme an dieser Umfrage! 

Falls sich Fragen ergeben haben oder Sie eine Anmerkung hinzufügen möchten, nutzen Sie gerne das nachstehende Textfeld:",FL_15 - Block Randomizer - Display Order - SzenarioA,FL_15 - Block Randomizer - Display Order - SzenarioB,FL_15 - Block Randomizer - Display Order - SzenarioC
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID11""}","{""ImportId"":""QID3""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_8""}","{""ImportId"":""QID8_10""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID42_3""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID9_7""}","{""ImportId"":""QID9_8""}","{""ImportId"":""QID9_9""}","{""ImportId"":""QID41""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID19_5""}","{""ImportId"":""QID19_6""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID20_5""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID34_4""}","{""ImportId"":""QID34_5""}","{""ImportId"":""QID34_6""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID35_3""}","{""ImportId"":""QID35_4""}","{""ImportId"":""QID35_5""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID37_4""}","{""ImportId"":""QID37_5""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID28_4""}","{""ImportId"":""QID28_5""}","{""ImportId"":""QID28_6""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID29_5""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""FL_15_DO"",""choiceId"":""SzenarioA""}","{""ImportId"":""FL_15_DO"",""choiceId"":""SzenarioB""}","{""ImportId"":""FL_15_DO"",""choiceId"":""SzenarioC""}"
2024-12-02 15:22:59,2024-12-02 15:33:00,0,89.1.217.63,100,601,1,2024-12-02 15:33:01,R_2henCeiik9gZ0zv,,,,,50.9771,6.9186,anonymous,DE,1,2,26,5,3,1,5,2,3,4,3,5,4,2,4,4,4,2,4,3,6,4,4,5,2,4,2,5,4,6,5,5,2,3,2,3,,,6,1,1,1,5,6,5,4,4,4,4,4,4,4,4,3,4,3,4,4,5,4,4,4,3,4,4,3,4,3,4,3,4,4,3,5,5,4,5,6,4,4,4,5,4,5,4,5,4,3,4,4,3,3,3,,2,3,1
2024-12-02 15:20:39,2024-12-02 15:37:12,0,84.182.230.60,100,992,1,2024-12-02 15:37:12,R_2KTQfAbniGVrIke,,,,,50.7599,6.0953,anonymous,DE,1,2,28,5,3,1,6,1,6,2,2,3,3,2,2,3,4,2,4,5,6,4,4,4,1,3,2,5,4,6,4,6,1,1,1,1,,,6,1,2,1,6,6,6,6,6,4,4,2,3,4,3,5,6,5,4,3,3,3,6,6,6,6,6,6,4,2,4,2,4,4,4,4,5,4,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,6,6,,3,1,2
2024-12-02 21:01:51,2024-12-02 21:26:00,0,95.223.45.103,100,1449,1,2024-12-02 21:26:01,R_3rNiN2C1fTJ85ey,,,,,50.7688,6.0758,anonymous,DE,1,2,25,5,3,1,4,2,3,4,4,3,4,2,3,4,4,4,3,5,6,2,4,4,2,3,3,4,3,4,6,5,1,1,1,1,,,5,3,2,1,5,5,6,4,6,4,4,5,4,4,5,3,4,3,5,4,3,4,5,6,6,6,6,6,1,2,1,4,4,6,5,6,5,6,6,6,6,6,5,6,5,5,6,6,3,2,2,4,5,6,4,,3,2,1
2024-12-02 21:26:33,2024-12-02 21:36:56,0,95.223.45.103,100,623,1,2024-12-02 21:36:57,R_2daWNlVSkqX3YYd,,,,,50.7688,6.0758,anonymous,DE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3
2024-12-04 11:56:59,2024-12-04 12:10:07,0,95.223.45.11,100,787,1,2024-12-04 12:10:08,R_2gSYySJD9XVLWg0,,,,,50.7688,6.0758,anonymous,DE,1,2,25,5,3,1,5,1,3,4,4,5,6,4,5,5,3,4,5,6,6,4,4,5,1,4,1,4,2,6,5,6,1,1,1,1,,,5,4,2,2,5,5,6,5,6,5,6,6,5,5,6,4,4,4,5,5,5,5,6,6,6,6,6,6,1,2,1,2,3,6,5,6,5,6,6,6,5,6,5,6,6,6,6,5,1,1,1,3,5,5,5,,1,2,3
2024-12-04 14:33:04,2024-12-04 16:51:30,0,212.63.57.67,100,8305,1,2024-12-04 16:51:31,R_8TKTR3kIwiLcpxq,,,,,50.8693,6.8728,anonymous,DE,1,2,25,5,3,1,3,4,5,4,4,3,4,4,3,2,5,2,4,5,6,3,4,4,4,4,5,4,5,6,6,5,2,4,2,4,,,3,4,4,5,2,4,6,4,2,5,5,5,5,5,5,5,3,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,6,6,5,6,6,5,6,5,5,4,5,4,5,6,5,5,4,4,4,3,Pretest,2,1,3
2024-12-05 13:07:09,2024-12-05 13:18:03,0,94.31.82.255,100,653,1,2024-12-05 13:18:04,R_86nm0UeUWa45lsu,,,,,51.7266,7.171,anonymous,DE,1,2,22,4,1,1,5,2,4,5,3,1,2,5,1,1,5,1,5,3,6,1,1,2,3,3,2,4,3,5,5,5,1,4,1,3,,,6,1,2,1,4,4,6,4,3,5,5,5,5,5,5,3,2,2,4,4,4,5,5,5,5,5,5,5,2,2,2,4,4,4,4,4,4,5,6,6,5,5,5,5,5,5,5,5,2,2,2,4,4,4,4,,1,2,3
2024-12-04 16:49:45,2024-12-05 13:49:32,0,217.228.111.14,100,75587,1,2024-12-05 13:49:33,R_8mjUZxFtKOAnl2n,,,,,50.7766,6.1607,anonymous,DE,1,2,25,5,2,1,6,2,2,4,4,3,4,4,3,3,5,2,5,4,6,3,4,5,2,4,3,4,2,6,5,5,2,3,3,3,,,5,5,4,2,5,4,5,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,4,4,4,,2,3,1
